"employee_id","has_relevant_field","highest_edu","last_edu_year","degreeNumber"
"t_10734",1,"bachelor",2022,2
"t_10735",1,"phd",2020,3
"t_10736",1,"master",2019,3
"t_10737",1,"bachelor",2019,2
"t_10738",0,"master",2000,1
"t_10739",1,"master",2022,2
"t_1074",1,"master",2016,3
"t_10740",0,"bachelor",2021,2
"t_10741",1,"master",2012,3
"t_10742",1,"master",2017,3
"t_10743",1,"bachelor",2021,2
"t_10744",1,"master",2022,2
"t_10745",1,"master",2021,2
"t_10746",0,"master",2019,2
"t_10747",1,"phd",2017,4
"t_10748",0,"master",2021,2
"t_10749",1,"master",2019,2
"t_1075",1,"master",2014,1
"t_10750",1,"master",2016,2
"t_10751",0,"master",2017,2
"t_10752",0,"master",2017,3
"t_10753",1,"phd",2012,3
"t_10754",0,"master",2022,2
"t_10755",0,"master",2019,2
"t_10756",1,"bachelor",2022,1
"t_10757",1,"master",2017,2
"t_10758",1,"bachelor",2020,1
"t_10759",0,"master",-1,2
"t_1076",1,"bachelor",2021,2
"t_10761",0,"master",2020,2
"t_10763",0,"master",2022,2
"t_10764",1,"master",2020,2
"t_10765",0,"master",2017,2
"t_10766",1,"master",2016,1
"t_10767",1,"phd",2022,2
"t_10768",1,"bachelor",2012,1
"t_1077",1,"master",2018,2
"t_10770",0,"phd",2018,4
"t_10771",1,"bachelor",2022,1
"t_10772",1,"phd",2022,3
"t_10773",0,"master",2017,3
"t_10774",0,"phd",2003,2
"t_10775",1,"master",2019,3
"t_10776",1,"master",2019,2
"t_10777",1,"master",2011,2
"t_10778",1,"bachelor",-1,1
"t_10779",0,"master",2022,3
"t_1078",1,"phd",2014,2
"t_10780",0,"master",2018,2
"t_10781",1,"master",2021,3
"t_10782",1,"master",2009,3
