,company
1813,2446860
1814,2446860
1815,2446860
1816,2446860
1817,9433416
1818,163536
1819,18153503
1820,34226387
1821,1497087
1822,9612
1823,10331945
1824,4030
1825,4030
1826,1929421
1827,10489046
1828,10489046
1829,15516
1830,15516
1831,2896682
1832,37405
1833,1517210
1834,224745
1835,3225
1836,3225
1837,9477330
1838,15516
1839,11445789
1840,1097182
1841,166704
1842,166704
1843,1080391
1844,18196973
1845,285447
1846,2073870
1847,285447
1848,11375541
1849,11521185
1850,4815
1851,165613
1852,17898462
1853,17908204
1854,4990999
1855,3517083
1856,41918179
1857,43418
1858,6577903
1859,17947
1860,13248197
1861,18393171
1862,5314007
1863,3829834
1864,343905
1865,28423178
1866,28423178
1867,638314
1868,638314
1869,7257608
1870,17939439
1871,5387880
1872,11486158
1873,11486158
1874,11486158
1875,17947
1876,5314007
1877,3829834
1878,78384359
1879,2558898
1880,166698
1881,1595546
1882,2008319
1883,10827149
1884,1021622
1885,17908204
1886,16249494
1887,7925
1888,166704
1889,25133282
1890,17908204
1891,5314007
1892,6873292
1893,2697456
1894,2697456
1895,18196973
1896,285447
1897,166626
1898,9246
1899,10399715
1900,420876
1901,165613
1902,9443030
1903,1848692
1904,5387757
1905,239078
1906,162797
1907,212567
1908,2429251
1909,72739625
1910,5050702
1911,6385462
1912,1231160
1913,5822
1914,1751159
1915,782844
1916,10436787
1917,15516
1918,13248197
1919,3201557
1920,11190979
1921,1705237
1922,5343852
1923,1575306
1924,82008597
1925,15225070
1926,104034
1927,1823638
1928,338527
1929,1656478
1930,24743038
1931,23174526
1932,1084
1933,711482
1934,120717
1935,18196973
1936,277459
1937,277459
1938,277459
1939,623229
1940,623229
1941,1211032
1942,15130925
1943,10331945
1944,5267
1945,25745869
1946,22414851
1947,9790
1948,166283
1949,5265217
1950,1079612
1951,153167
1952,166698
1953,11486158
1954,8148
1955,5384
1956,6341
1957,166626
1958,9219984
1959,33598
1960,17947
1961,734255
1962,734255
1963,1087399
1964,1087399
1965,1087399
1966,1087399
1967,3056134
1968,20250
1969,1575306
1970,3658410
1971,3658410
1972,2440822
1973,156260
1974,31897245
1975,1069814
1976,4562
1977,31387
1978,29127114
1979,2706217
1980,18150993
1981,727329
1982,277577
1983,1595546
1984,64831662
1985,11486158
1986,9277885
1987,9277885
1988,4841
1989,10913393
1990,7939250
1991,3696645
1992,3696645
1993,2870766
1994,17908204
1995,18393171
1996,166626
1997,2023784
1998,9277885
1999,18119524
2000,22294027
2001,8221
2002,22294027
2003,8221
2004,10940184
2005,10940184
2006,1062168
2007,10207371
2008,65678383
2009,64535217
2010,13178640
2011,93493
2012,166701
2013,15189276
2014,17947
2015,17947
2016,5046700
2017,15949457
2018,12915066
2019,23637321
2020,3640168
2021,19225151
2022,23076376
2023,164365
2024,909530
2025,125113
2026,17947
2027,453142
2028,5338989
2029,8986
2030,8986
2031,28423178
2032,18393171
2033,2306206
2034,2306206
2035,166626
2036,1569435
2037,6927
2038,6927
2039,6927
2040,516340
2041,2378755
2042,3117
2043,56467269
2044,2011563
2045,2011563
2046,314671
2047,10436787
2048,2924783
2049,166698
2050,133084
2051,1241702
2052,61237
2053,748731
2054,37405
2055,37211716
2056,10307505
2057,10913393
2058,2756754
2059,3819173
2060,2849191
2061,18196973
2062,18150993
2063,1194036
2064,18393171
2065,3998145
2066,33548
2067,79738763
2068,79738763
2069,1405372
2070,236880
2071,12602650
2072,1834170
2073,1834170
2074,39170
2075,5144173
2076,1914214
2077,5397934
2078,5397934
2079,11134
2080,162761
2081,50829
2082,50829
2083,9477330
2084,51529
2085,2637508
2086,3553043
2087,18045548
2088,18045548
2089,164665
2090,5290
2091,309694
2092,5290
2093,622667
2094,5022905
2095,14784156
2096,17947
2097,27185
2098,18909033
2099,2168396
2100,2653257
2101,2653257
2102,28423178
2103,3139923
2104,711482
2105,4000517
2106,11521185
2107,4815
2108,10459555
2109,772438
2110,166698
2111,9277885
2112,1929421
